TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:15:20
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.53897
MAXY	     1.54779
MINY	     1.26289
XYDATA
650.0000	1.53897
649.9750	1.53897
649.9500	1.54049
649.9250	1.53892
649.9000	1.53612
649.8750	1.53745
649.8500	1.53817
649.8250	1.5373
649.8000	1.53701
649.7750	1.53602
649.7500	1.53477
649.7250	1.53234
649.7000	1.53331
649.6750	1.53627
649.6500	1.54138
649.6250	1.54302
649.6000	1.54477
649.5750	1.54277
649.5500	1.54779
649.5250	1.54398
649.5000	1.53919
649.4750	1.53982
649.4500	1.54043
649.4250	1.5418
649.4000	1.53988
649.3750	1.5391
649.3500	1.53722
649.3250	1.53454
649.3000	1.53243
649.2750	1.53237
649.2500	1.53284
649.2250	1.53364
649.2000	1.534
649.1750	1.53644
649.1500	1.53597
649.1250	1.53608
649.1000	1.53747
649.0750	1.53655
649.0500	1.53564
649.0250	1.53763
649.0000	1.53784
648.9750	1.53769
648.9500	1.53516
648.9250	1.53472
648.9000	1.53739
648.8750	1.53469
648.8500	1.5347
648.8250	1.53581
648.8000	1.53718
648.7750	1.53845
648.7500	1.53678
648.7250	1.53876
648.7000	1.53698
648.6750	1.5328
648.6500	1.53142
648.6250	1.53237
648.6000	1.53216
648.5750	1.52887
648.5500	1.52995
648.5250	1.52819
648.5000	1.52735
648.4750	1.53058
648.4500	1.53054
648.4250	1.53019
648.4000	1.53334
648.3750	1.53597
648.3500	1.53605
648.3250	1.5338
648.3000	1.52978
648.2750	1.52913
648.2500	1.52873
648.2250	1.52808
648.2000	1.5293
648.1750	1.53241
648.1500	1.5384
648.1250	1.53502
648.1000	1.5334
648.0750	1.5339
648.0500	1.53257
648.0250	1.5284
648.0000	1.52304
647.9750	1.52453
647.9500	1.52603
647.9250	1.52562
647.9000	1.52752
647.8750	1.53075
647.8500	1.53627
647.8250	1.53822
647.8000	1.53608
647.7750	1.53852
647.7500	1.54019
647.7250	1.53998
647.7000	1.53724
647.6750	1.53813
647.6500	1.53773
647.6250	1.53335
647.6000	1.5331
647.5750	1.5342
647.5500	1.5326
647.5250	1.53244
647.5000	1.53321
647.4750	1.53402
647.4500	1.53281
647.4250	1.52849
647.4000	1.5269
647.3750	1.52713
647.3500	1.52407
647.3250	1.52644
647.3000	1.52656
647.2750	1.52748
647.2500	1.53144
647.2250	1.53052
647.2000	1.53247
647.1750	1.53058
647.1500	1.52882
647.1250	1.5291
647.1000	1.52778
647.0750	1.53047
647.0500	1.52745
647.0250	1.52708
647.0000	1.53036
