TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:16:15
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.54708
MAXY	     1.55374
MINY	     1.26602
XYDATA
650.0000	1.54708
649.9750	1.55033
649.9500	1.55296
649.9250	1.54836
649.9000	1.54667
649.8750	1.54687
649.8500	1.54639
649.8250	1.5441
649.8000	1.54075
649.7750	1.54098
649.7500	1.54229
649.7250	1.54242
649.7000	1.54135
649.6750	1.54333
649.6500	1.54181
649.6250	1.54269
649.6000	1.54309
649.5750	1.54349
649.5500	1.54561
649.5250	1.54169
649.5000	1.54097
649.4750	1.54149
649.4500	1.54342
649.4250	1.54414
649.4000	1.54442
649.3750	1.54698
649.3500	1.55141
649.3250	1.55169
649.3000	1.55374
649.2750	1.55238
649.2500	1.55078
649.2250	1.54804
649.2000	1.5462
649.1750	1.54472
649.1500	1.5436
649.1250	1.54263
649.1000	1.54368
649.0750	1.54455
649.0500	1.54361
649.0250	1.54635
649.0000	1.54559
648.9750	1.54005
648.9500	1.54227
648.9250	1.53864
648.9000	1.54149
648.8750	1.53767
648.8500	1.53851
648.8250	1.53879
648.8000	1.5418
648.7750	1.54109
648.7500	1.54098
648.7250	1.53992
648.7000	1.54098
648.6750	1.54214
648.6500	1.54332
648.6250	1.54311
648.6000	1.5448
648.5750	1.54621
648.5500	1.54345
648.5250	1.54075
648.5000	1.53659
648.4750	1.53708
648.4500	1.53386
648.4250	1.53301
648.4000	1.53239
648.3750	1.5378
648.3500	1.53841
648.3250	1.54059
648.3000	1.54349
648.2750	1.54147
648.2500	1.53867
648.2250	1.53772
648.2000	1.53646
648.1750	1.53822
648.1500	1.53362
648.1250	1.53406
648.1000	1.53652
648.0750	1.53982
648.0500	1.54183
648.0250	1.5414
648.0000	1.54217
647.9750	1.54204
647.9500	1.54043
647.9250	1.54251
647.9000	1.54055
647.8750	1.53786
647.8500	1.53798
647.8250	1.53929
647.8000	1.53689
647.7750	1.53292
647.7500	1.53655
647.7250	1.53805
647.7000	1.53718
647.6750	1.53668
647.6500	1.53973
647.6250	1.53935
647.6000	1.54326
647.5750	1.54193
647.5500	1.54087
647.5250	1.54296
647.5000	1.54027
647.4750	1.54174
647.4500	1.54098
647.4250	1.53572
647.4000	1.53808
647.3750	1.54131
647.3500	1.54066
647.3250	1.54106
647.3000	1.5405
647.2750	1.54027
647.2500	1.53932
647.2250	1.53502
647.2000	1.53562
647.1750	1.53364
647.1500	1.53614
647.1250	1.54173
647.1000	1.54105
647.0750	1.54187
647.0500	1.54173
647.0250	1.54328
647.0000	1.54106
