TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:16:01
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.53925
MAXY	     1.55310
MINY	     1.27020
XYDATA
650.0000	1.53925
649.9750	1.53785
649.9500	1.53704
649.9250	1.53951
649.9000	1.53936
649.8750	1.53786
649.8500	1.53826
649.8250	1.54135
649.8000	1.54331
649.7750	1.54124
649.7500	1.54217
649.7250	1.543
649.7000	1.54074
649.6750	1.53815
649.6500	1.53815
649.6250	1.53837
649.6000	1.53794
649.5750	1.54078
649.5500	1.53859
649.5250	1.54067
649.5000	1.54299
649.4750	1.54326
649.4500	1.54216
649.4250	1.54166
649.4000	1.54277
649.3750	1.54317
649.3500	1.5421
649.3250	1.54221
649.3000	1.54278
649.2750	1.54282
649.2500	1.54414
649.2250	1.54238
649.2000	1.54536
649.1750	1.54491
649.1500	1.54405
649.1250	1.54536
649.1000	1.54302
649.0750	1.54117
649.0500	1.54065
649.0250	1.54249
649.0000	1.54498
648.9750	1.54495
648.9500	1.54345
648.9250	1.54642
648.9000	1.54158
648.8750	1.54246
648.8500	1.54098
648.8250	1.53771
648.8000	1.53471
648.7750	1.53833
648.7500	1.54157
648.7250	1.53839
648.7000	1.54167
648.6750	1.54054
648.6500	1.5446
648.6250	1.5436
648.6000	1.53933
648.5750	1.54152
648.5500	1.54189
648.5250	1.54539
648.5000	1.54751
648.4750	1.5449
648.4500	1.54472
648.4250	1.54628
648.4000	1.54574
648.3750	1.54148
648.3500	1.53961
648.3250	1.53859
648.3000	1.53778
648.2750	1.5388
648.2500	1.53856
648.2250	1.53974
648.2000	1.539
648.1750	1.5396
648.1500	1.53993
648.1250	1.54183
648.1000	1.54331
648.0750	1.54571
648.0500	1.54885
648.0250	1.54699
648.0000	1.54549
647.9750	1.54621
647.9500	1.54769
647.9250	1.55049
647.9000	1.5509
647.8750	1.54592
647.8500	1.54641
647.8250	1.54531
647.8000	1.54458
647.7750	1.53609
647.7500	1.53332
647.7250	1.53576
647.7000	1.53549
647.6750	1.53377
647.6500	1.53417
647.6250	1.5372
647.6000	1.53708
647.5750	1.5373
647.5500	1.53906
647.5250	1.53576
647.5000	1.53711
647.4750	1.53529
647.4500	1.53699
647.4250	1.53648
647.4000	1.53471
647.3750	1.53537
647.3500	1.53424
647.3250	1.52943
647.3000	1.5333
647.2750	1.52936
647.2500	1.53185
647.2250	1.53538
647.2000	1.5372
647.1750	1.53797
647.1500	1.54045
647.1250	1.53746
647.1000	1.53417
647.0750	1.53275
647.0500	1.529
647.0250	1.52816
647.0000	1.5317
